Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
CECCOTTI COLLEZIONI SRL;1452600503;Pisa;Toscana;6476468;Sistema ARREDAMENTO
S. MARTINO MOBILI SRL;202120267;Treviso;Veneto;6432140;Sistema ARREDAMENTO
DALE  F.LLI SRL;549550986;Brescia;Lombardia;6284068;Sistema ARREDAMENTO
SIGNORINI COCO E C. SRL;1741540502;Pisa;Toscana;6276341;Sistema ARREDAMENTO
SERRALUNGA SRL;2215770021;Biella;Piemonte;6248412;Sistema ARREDAMENTO
CIONI CORNICI SRL;4084180480;Firenze;Toscana;6244728;Sistema ARREDAMENTO
BELLOTTI EZIO ARREDAMENTI;2361680966;Monza e della Brianza;Lombardia;6237544;Sistema ARREDAMENTO
ZAFFERANO SRL;3305480273;Treviso;Veneto;6228485;Sistema ARREDAMENTO
SALVADORI SRL;4013590262;Treviso;Veneto;6225172;Sistema ARREDAMENTO
ATMOSPHERA SRL;3568940286;Padova;Veneto;6197415;Sistema ARREDAMENTO
ANCAP SPA;214190233;Verona;Veneto;6158090;Sistema ARREDAMENTO
MOBILIFICIO L.M. SRL;2042320412;Pesaro Urbino;Marche;6126478;Sistema ARREDAMENTO
CANTORI SPA;1013820426;Ancona;Marche;6119495;Sistema ARREDAMENTO
SEVEN SEDIE;2204210237;Verona;Veneto;6108019;Sistema ARREDAMENTO
TERRANEO SRL;5072060964;Monza e della Brianza;Lombardia;6049944;Sistema ARREDAMENTO
FRIGERIO POLTRONE E DIVANI;2179030131;Como;Lombardia;6006618;Sistema ARREDAMENTO
LOWELL SRL;178290367;Modena;Emilia-Romagna;5997766;Sistema ARREDAMENTO
FALEGNAMI ITALIA SRL;4951750480;Firenze;Toscana;5930176;Sistema ARREDAMENTO
MOZZO GIORGIO SRL;2942270238;Verona;Veneto;5927710;Sistema ARREDAMENTO
DE CASTELLI SRL;3842970265;Treviso;Veneto;5903139;Sistema ARREDAMENTO
NOI DELLA NOTTE SRL;975310525;Siena;Toscana;5899946;Sistema ARREDAMENTO
GRUPPO P. E G. SRL;756950408;Forlì-Cesena;Emilia-Romagna;5853284;Sistema ARREDAMENTO
MAGNOLIA DUE SRL;2185620412;Pesaro Urbino;Marche;5837644;Sistema ARREDAMENTO
TRUE DESIGN SRL;4428190286;Padova;Veneto;5797230;Sistema ARREDAMENTO
SPINELLI A. E G. SRL;2800380137;Como;Lombardia;5775739;Sistema ARREDAMENTO
MALINA SRL;269160305;Udine;Friuli-Venezia Giulia;5761512;Sistema ARREDAMENTO
DORSAL SRL;317220267;Treviso;Veneto;5742557;Sistema ARREDAMENTO
SANGIORGI SPA;11355880151;Milano;Lombardia;5739809;Sistema ARREDAMENTO
TECNO IMBOTTITI SRL;5065810722;Bari;Puglia;5737828;Sistema ARREDAMENTO
NICOLINE SALOTTI SRL;4506110727;Bari;Puglia;5735776;Sistema ARREDAMENTO
KICO SRL;1672560677;Teramo;Abruzzo;5695928;Sistema ARREDAMENTO
POLIMARK SRL;2796720965;Monza e della Brianza;Lombardia;5685098;Sistema ARREDAMENTO
P.S.M. SRL;1670290301;Udine;Friuli-Venezia Giulia;5674738;Sistema ARREDAMENTO
VALDESIGN SRL;3931940260;Treviso;Veneto;5662519;Sistema ARREDAMENTO
MONT-BEL SRL;162680300;Udine;Friuli-Venezia Giulia;5644873;Sistema ARREDAMENTO
RIVA MOBILI D ARTE SRL;5424700960;Monza e della Brianza;Lombardia;5635080;Sistema ARREDAMENTO
ALIVAR SRL;4295660486;Firenze;Toscana;5615039;Sistema ARREDAMENTO
ORSI CORNICI SRL;4898760485;Firenze;Toscana;5582245;Sistema ARREDAMENTO
MOBILEGNO SRL;680290269;Treviso;Veneto;5573217;Sistema ARREDAMENTO
GURIAN SPA;1140220268;Treviso;Veneto;5546217;Sistema ARREDAMENTO
MOBILIFICIO MARIO VILLANOVA;401900261;Treviso;Veneto;5523085;Sistema ARREDAMENTO
TACCHINI ITALIA FORNITURE;2196280966;Monza e della Brianza;Lombardia;5521793;Sistema ARREDAMENTO
CN CONTINENTAL SPA;1357870060;Alessandria;Piemonte;5500941;Sistema ARREDAMENTO
SINKO SRL;3100760234;Verona;Veneto;5477072;Sistema ARREDAMENTO
IFA INDUSTRIA;2587200300;Udine;Friuli-Venezia Giulia;5468137;Sistema ARREDAMENTO
BUSETTO SRL;1136810262;Treviso;Veneto;5416204;Sistema ARREDAMENTO
SCANDOLA MOBILI SRL;3853100232;Verona;Veneto;5382043;Sistema ARREDAMENTO
FRATELLI RANUCCI SRL;3695950406;Forlì-Cesena;Emilia-Romagna;5376695;Sistema ARREDAMENTO
AERRE SRL (NA);7377090639;Napoli;Campania;5366347;Sistema ARREDAMENTO
CITCO SRL;5382530961;Verona;Veneto;5326481;Sistema ARREDAMENTO
DOMINGO SALOTTI SRL;165000415;Pesaro Urbino;Marche;5309701;Sistema ARREDAMENTO
COSTANTINI PIETRO SRL;1078650304;Udine;Friuli-Venezia Giulia;5262552;Sistema ARREDAMENTO
GM CUCINE SRL;797250263;Treviso;Veneto;5234946;Sistema ARREDAMENTO
KEY STUDIO SRL;317860526;Siena;Toscana;5217109;Sistema ARREDAMENTO
LYON S LINEA CUCINE SRL;2155360262;Treviso;Veneto;5216011;Sistema ARREDAMENTO
MISTRAL SPA;1213380262;Treviso;Veneto;5202123;Sistema ARREDAMENTO
SILIK SRL;197180136;Como;Lombardia;5176758;Sistema ARREDAMENTO
MARCHI SRL;997630199;Cremona;Lombardia;5159032;Sistema ARREDAMENTO
PG SRL;867730962;Monza e della Brianza;Lombardia;5147349;Sistema ARREDAMENTO
SOCIETA ITALIANA TAPPETI;1113920332;Piacenza;Emilia-Romagna;5138302;Sistema ARREDAMENTO
MOBIL G.A.M. SPA;190840264;Treviso;Veneto;5095260;Sistema ARREDAMENTO
MORBID LINE ITALY SRL;379250285;Padova;Veneto;5086902;Sistema ARREDAMENTO
DORMISANO INT. SRL;1730190970;Prato;Toscana;5081207;Sistema ARREDAMENTO
SO.VE.T. S.R.L;2014580266;Treviso;Veneto;5067124;Sistema ARREDAMENTO
DIEMME CUCINE SRL;2763860612;Caserta;Campania;5065763;Sistema ARREDAMENTO
ARREDI 3N SRL;702470964;Monza e della Brianza;Lombardia;5064714;Sistema ARREDAMENTO
EVEREST SRL;2242180269;Treviso;Veneto;5045951;Sistema ARREDAMENTO
M.F. INTERNATIONAL SRL;1238070476;Pistoia;Toscana;5044869;Sistema ARREDAMENTO
METALARREDO SRL;822280962;Monza e della Brianza;Lombardia;5039344;Sistema ARREDAMENTO
CAMAGNI ARREDAMENTI SRL;2590370132;Como;Lombardia;5035456;Sistema ARREDAMENTO
SEVEN SALOTTI SPA;703820969;Monza e della Brianza;Lombardia;5024953;Sistema ARREDAMENTO
BORGO ANTICO SRL;1544800434;Macerata;Marche;5020022;Sistema ARREDAMENTO
ROVERSI CESARE ARREDAMENTI;1504650209;Mantova;Lombardia;5014666;Sistema ARREDAMENTO
MOSAICO+ SRL;3135630360;Milano;Lombardia;5012740;Sistema ARREDAMENTO
PELUCCHI SRL;783690969;Monza e della Brianza;Lombardia;5011627;Sistema ARREDAMENTO
DE ROSSO SRL;4599890268;Treviso;Veneto;5007040;Sistema ARREDAMENTO
ELLEDUE ARREDAMENTI SRL;1227930136;Monza e della Brianza;Lombardia;4976294;Sistema ARREDAMENTO
VASTARREDO SRL;2029130693;Chieti;Abruzzo;4967635;Sistema ARREDAMENTO
COMES.IT SRL;2029120694;Chieti;Abruzzo;4965642;Sistema ARREDAMENTO
GORINI SRL POLTRONE E DIVANI;3177860404;Forlì-Cesena;Emilia-Romagna;4954833;Sistema ARREDAMENTO
ITALCORNICI SRL (SI);298370529;Siena;Toscana;4949409;Sistema ARREDAMENTO
LAMP ARREDO SRL;3079920264;Treviso;Veneto;4929845;Sistema ARREDAMENTO
DIVANIA SRL;687020552;Terni;Umbria;4928474;Sistema ARREDAMENTO
NAPOL ARREDAMENTI SRL;199780263;Treviso;Veneto;4917499;Sistema ARREDAMENTO
ARMETAL SRL;1730310404;Forlì-Cesena;Emilia-Romagna;4834237;Sistema ARREDAMENTO
ILPO SRL;533621207;Bologna;Emilia-Romagna;4811735;Sistema ARREDAMENTO
GORY CUCINE SRL;1192350930;Pordenone;Friuli-Venezia Giulia;4790134;Sistema ARREDAMENTO
CAREDI SRL;10873130156;Milano;Lombardia;4785594;Sistema ARREDAMENTO
MARCELLIFLEX SRL;254700602;Frosinone;Lazio;4764497;Sistema ARREDAMENTO
GABANA ARREDAMENTI SRL;578260986;Brescia;Lombardia;4744324;Sistema ARREDAMENTO
ASTOR POLTRONE E DIVANI SRL;2262980408;Forlì-Cesena;Emilia-Romagna;4697926;Sistema ARREDAMENTO
A.B.A. ARREDAMENTI SPA;147790513;Arezzo;Toscana;4672714;Sistema ARREDAMENTO
PRISMA SRL;1453990135;Como;Lombardia;4663831;Sistema ARREDAMENTO
T.M. ITALIA SRL;1294870447;Ascoli Piceno;Marche;4655915;Sistema ARREDAMENTO
VIGANO  SRL;827840133;Como;Lombardia;4654435;Sistema ARREDAMENTO
CUCINESSE SRL;1342920418;Pesaro Urbino;Marche;4649208;Sistema ARREDAMENTO
ELMAR SRL;590010260;Treviso;Veneto;4640414;Sistema ARREDAMENTO
MOBILPIU  SRL;1325470415;Pesaro Urbino;Marche;4624348;Sistema ARREDAMENTO
ROBERTO GIOVANNINI SRL;3418980482;Firenze;Toscana;4615111;Sistema ARREDAMENTO
CORIUM SRL;3699210260;Treviso;Veneto;4573913;Sistema ARREDAMENTO
MOLTENI MOBILI SRL;5085860962;Monza e della Brianza;Lombardia;4525483;Sistema ARREDAMENTO
RIGOSALOTTI SRL;605630938;Pordenone;Friuli-Venezia Giulia;4508201;Sistema ARREDAMENTO
DOIMO MATERASSI SRL;1917120261;Treviso;Veneto;4502791;Sistema ARREDAMENTO
SATIS SPA;978320471;Pistoia;Toscana;4495374;Sistema ARREDAMENTO
ROSSATO ARREDAMENTI SRL;3745460281;Padova;Veneto;4477999;Sistema ARREDAMENTO
MARONI SRL;2707740136;Como;Lombardia;4470052;Sistema ARREDAMENTO
H E H GROUP SRL;2313820413;Pesaro Urbino;Marche;4463492;Sistema ARREDAMENTO
VISMAP SRL;307220434;Macerata;Marche;4453554;Sistema ARREDAMENTO
SIMONETTO SRL;679740969;Monza e della Brianza;Lombardia;4420944;Sistema ARREDAMENTO
MOBILSTELLA SRL;618080261;Treviso;Veneto;4416040;Sistema ARREDAMENTO
COVA CUCINE SRL;1098920224;Trento;Trentino-Alto Adige;4410476;Sistema ARREDAMENTO
FRATELLI BOFFI SRL;686590969;Monza e della Brianza;Lombardia;4405846;Sistema ARREDAMENTO
PIAVAL SRL;272400300;Udine;Friuli-Venezia Giulia;4399722;Sistema ARREDAMENTO
STATUS SRL (TV);2220170415;Treviso;Veneto;4389206;Sistema ARREDAMENTO
F.LLI VERGANI 2 SRL;2271760965;Milano;Lombardia;4382997;Sistema ARREDAMENTO
ARTE BROTTO MOBILI SRL;796380244;Vicenza;Veneto;4370527;Sistema ARREDAMENTO
LEQ SOCIETA;2416630420;Ancona;Marche;4356020;Sistema ARREDAMENTO
LA CIVIDINA SRL;1810870301;Udine;Friuli-Venezia Giulia;4314070;Sistema ARREDAMENTO
I.D.P. SRL;833490964;Monza e della Brianza;Lombardia;4287279;Sistema ARREDAMENTO
LEGARFLEX SRL DI REMONDINI;376470167;Bergamo;Lombardia;4286898;Sistema ARREDAMENTO
FLEXYFLEX SRL;2008610970;Prato;Toscana;4277703;Sistema ARREDAMENTO
EUROMARCHI SRL;390120467;Lucca;Toscana;4273508;Sistema ARREDAMENTO
BESANA MOQUETTE SRL;1697520136;Como;Lombardia;4269637;Sistema ARREDAMENTO
CERAMICHE VIRGINIA SRL;436100481;Firenze;Toscana;4265420;Sistema ARREDAMENTO
ADRIATICA SRL;1114800418;Pesaro Urbino;Marche;4251208;Sistema ARREDAMENTO
STILEMA SRL;2430520417;Pesaro Urbino;Marche;4206041;Sistema ARREDAMENTO
COLAVENE SPA;61770566;Viterbo;Lazio;4200223;Sistema ARREDAMENTO
MORFEUS SPA;166450411;Pesaro Urbino;Marche;4189635;Sistema ARREDAMENTO
ETHON SRL;441460300;Udine;Friuli-Venezia Giulia;4174983;Sistema ARREDAMENTO
ARREDAMENTI PFZ SRL;2666820960;Monza e della Brianza;Lombardia;4144276;Sistema ARREDAMENTO
CASA ZETA SRL;1538510981;Brescia;Lombardia;4140662;Sistema ARREDAMENTO
MINI FORMS SRL;191090265;Treviso;Veneto;4134585;Sistema ARREDAMENTO
ESSEDUE SRL;2212890137;Como;Lombardia;4129853;Sistema ARREDAMENTO
INTERTECNICA SRL ARREDAMENTI;1551820366;Modena;Emilia-Romagna;4127672;Sistema ARREDAMENTO
MIFORM SRL;2019810981;Brescia;Lombardia;4113925;Sistema ARREDAMENTO
ARTE VENEZIANA ARREDO SRL;1875080275;Venezia;Veneto;4105160;Sistema ARREDAMENTO
ADAMO SRL;930120423;Ancona;Marche;4104290;Sistema ARREDAMENTO
FALMA ITALIA INTERIORS SRL;1028410437;Macerata;Marche;4085890;Sistema ARREDAMENTO
EVOLUZIONE 2000 SPA;1645880988;Brescia;Lombardia;4068974;Sistema ARREDAMENTO
DV SRL;2334850415;Pesaro Urbino;Marche;4065575;Sistema ARREDAMENTO
MILAN ARREDAMENTI SRL;227590296;Rovigo;Veneto;4061241;Sistema ARREDAMENTO
S.E.V. SPA;1021010416;Pesaro Urbino;Marche;4059005;Sistema ARREDAMENTO
ARREDAMENTI NASCIMBEN;3614590267;Treviso;Veneto;4045331;Sistema ARREDAMENTO
TRETOR SRL;4391460757;Genova;Liguria;4035967;Sistema ARREDAMENTO
CHELINI SRL;3361140480;Firenze;Toscana;4010930;Sistema ARREDAMENTO
MUSILLI BERNARDINO SRL;8264621007;Roma;Lazio;4004346;Sistema ARREDAMENTO
VIBIEFFE 85 SRL;893760967;Monza e della Brianza;Lombardia;3991112;Sistema ARREDAMENTO
FRIUL SEDIE SUD SRL;1619480716;Foggia;Puglia;3988213;Sistema ARREDAMENTO
G. E F. SRL;1468210420;Ancona;Marche;3910676;Sistema ARREDAMENTO
BALLABIO DI BALLABIO SRL;1559620131;Como;Lombardia;3838639;Sistema ARREDAMENTO
VILLARI SRL;3471050249;Vicenza;Veneto;3836108;Sistema ARREDAMENTO
ROLLING PLAST SRL;3628910287;Padova;Veneto;3829015;Sistema ARREDAMENTO
MUNARI SRL;2683970236;Verona;Veneto;3825659;Sistema ARREDAMENTO
BIBA SALOTTI SRL;563580349;Parma;Emilia-Romagna;3824816;Sistema ARREDAMENTO
ERGOTEK SRL;2375800303;Bologna;Emilia-Romagna;3810496;Sistema ARREDAMENTO
FORTUNATO SRL;1851110765;Potenza;Basilicata;3805064;Sistema ARREDAMENTO
AXIS CUCINE SRL;2135630545;Perugia;Umbria;3801318;Sistema ARREDAMENTO
CIZETA SRL;2128070303;Udine;Friuli-Venezia Giulia;3800493;Sistema ARREDAMENTO
ELETTROIDEA SRL;2480080239;Verona;Veneto;3787094;Sistema ARREDAMENTO
MARTINI MOBILI SRL;609650239;Verona;Veneto;3786857;Sistema ARREDAMENTO
F.C. CORNICI SRL;4045160480;Firenze;Toscana;3779644;Sistema ARREDAMENTO
SAPORITI ITALIA SPA;12135840150;Varese;Lombardia;3777740;Sistema ARREDAMENTO
GRIFONI SILVANO SRL;4433760487;Firenze;Toscana;3776410;Sistema ARREDAMENTO
ROSSETTO ARREDAMENTI SRL;66430935;Pordenone;Friuli-Venezia Giulia;3767511;Sistema ARREDAMENTO
EKOFARMA SRL;1298700418;Pesaro Urbino;Marche;3745895;Sistema ARREDAMENTO
D E D DOZZA SRL;2323990263;Treviso;Veneto;3743421;Sistema ARREDAMENTO
FURLAN SRL (TV0170729);1791980269;Treviso;Veneto;3741916;Sistema ARREDAMENTO
EMMEEMME SPA;4576990487;Firenze;Toscana;3728090;Sistema ARREDAMENTO
CASAMILANO SRL;2510210962;Milano;Lombardia;3726611;Sistema ARREDAMENTO
COMPLE.MAT SRL;1592970477;Pistoia;Toscana;3715427;Sistema ARREDAMENTO
OPINION CIATTI SRL;5372720481;Firenze;Toscana;3700061;Sistema ARREDAMENTO
POZZOLI SRL;1325610135;Como;Lombardia;3697839;Sistema ARREDAMENTO
ERRE ERRE DIFFUSION SRL;416730133;Como;Lombardia;3694306;Sistema ARREDAMENTO
SOMASCHINI LANE SRL;221790132;Como;Lombardia;3692327;Sistema ARREDAMENTO
SER INVESTMENTS SPA;1847670542;Perugia;Umbria;3684880;Sistema ARREDAMENTO
S.I.L.E.A. SRL;177810264;Treviso;Veneto;3684565;Sistema ARREDAMENTO
PREGNO SRL;3217780281;Padova;Veneto;3675766;Sistema ARREDAMENTO
FRATELLI GIONCHETTI MATELICA;82980434;Macerata;Marche;3672625;Sistema ARREDAMENTO
BAMAX SRL;600710263;Treviso;Veneto;3666761;Sistema ARREDAMENTO
RAC SRL;4368910826;Palermo;Sicilia;3639626;Sistema ARREDAMENTO
UNIRETAIL SRL;2391000417;Rimini;Emilia-Romagna;3626383;Sistema ARREDAMENTO
VETRERIE DAL PIAN SRL;2210550261;Treviso;Veneto;3615595;Sistema ARREDAMENTO
ABITARE SRL;706700523;Siena;Toscana;3614320;Sistema ARREDAMENTO
MD HOUSE SRL;211850938;Pordenone;Friuli-Venezia Giulia;3611414;Sistema ARREDAMENTO
ACCADEMIA DEL MOBILE SRL;3229850239;Verona;Veneto;3606777;Sistema ARREDAMENTO
ROMA IMPERIALE SRL;10683131006;Roma;Lazio;3602347;Sistema ARREDAMENTO
WALDNER SRL;694200965;Monza e della Brianza;Lombardia;3588871;Sistema ARREDAMENTO
EFFEARREDI SRL;2338090166;Bergamo;Lombardia;3584483;Sistema ARREDAMENTO
CORBETTA SALVATORE SRL;381720135;Lecco;Lombardia;3498897;Sistema ARREDAMENTO
FAOMA SRL;1173810266;Treviso;Veneto;3491795;Sistema ARREDAMENTO
MARA SRL;1990190173;Brescia;Lombardia;3488239;Sistema ARREDAMENTO
LOIUDICE POLTRONE E SOFA SRL;5509200720;Bari;Puglia;3486478;Sistema ARREDAMENTO
COLBER SRL;786910968;Monza e della Brianza;Lombardia;3483904;Sistema ARREDAMENTO
MASTRO RAPHAEL SRL;411430549;Perugia;Umbria;3480552;Sistema ARREDAMENTO
VERNICIATURA VENEZIANA SRL;4587940281;Padova;Veneto;3476641;Sistema ARREDAMENTO
TAROCCO VACCARI GROUP SRL;3091930234;Verona;Veneto;3452287;Sistema ARREDAMENTO
VELA ARREDAMENTI SRL;3955500263;Modena;Emilia-Romagna;3446981;Sistema ARREDAMENTO
Y D F SRL;346010135;Como;Lombardia;3440262;Sistema ARREDAMENTO
FIM SRL;225510031;Novara;Piemonte;3434458;Sistema ARREDAMENTO
TECNOFIBRE SRL A SOCIO UNICO;7268420630;Avellino;Campania;3417028;Sistema ARREDAMENTO
ARREDAMENTI MONTEGRAPPA SRL;144250248;Vicenza;Veneto;3413672;Sistema ARREDAMENTO
LADY CUCINE SRL;419810775;Matera;Basilicata;3411877;Sistema ARREDAMENTO
SANGIORGIO MOBILI S.R.L;779190966;Monza e della Brianza;Lombardia;3409353;Sistema ARREDAMENTO
ARCOBALEGNO SRL;2186330276;Venezia;Veneto;3401694;Sistema ARREDAMENTO
F.LLI GROPPO SRL;2848140048;Cuneo;Piemonte;3401640;Sistema ARREDAMENTO
FLEXILAN 2000 SRL ;7982430014;Torino;Piemonte;3399598;Sistema ARREDAMENTO
ALTACORTE SRL;3573440272;Treviso;Veneto;3383092;Sistema ARREDAMENTO
NATISA SRL;2659920306;Udine;Friuli-Venezia Giulia;3374516;Sistema ARREDAMENTO
VIMAR ARREDI SRL;13174440159;Milano;Lombardia;3357618;Sistema ARREDAMENTO
PARMA RETI SPA;2537740405;Rimini;Emilia-Romagna;3356936;Sistema ARREDAMENTO
I.M.I. SRL;2132980976;Prato;Toscana;3346052;Sistema ARREDAMENTO
AGRESTI SRL;5275840485;Firenze;Toscana;3327430;Sistema ARREDAMENTO
DOMUS NOVA SRL;690310131;Milano;Lombardia;3312564;Sistema ARREDAMENTO
ARRMET SRL;452180300;Udine;Friuli-Venezia Giulia;3311536;Sistema ARREDAMENTO
EXTETA SRL;2907300962;Milano;Lombardia;3310398;Sistema ARREDAMENTO
FGF MOBILI SRL;1413980937;Pordenone;Friuli-Venezia Giulia;3299389;Sistema ARREDAMENTO
BACCIFLEX SRL;1631750971;Prato;Toscana;3299078;Sistema ARREDAMENTO
SYNERGIC ITALIANA SRL;10120480156;Bologna;Emilia-Romagna;3285994;Sistema ARREDAMENTO
FIGLI DI ISACCO AGOSTONI SRL;6250170963;Monza e della Brianza;Lombardia;3279962;Sistema ARREDAMENTO
FABBRI SALOTTI SRL;91780296;Rovigo;Veneto;3269556;Sistema ARREDAMENTO
ATRA CUCINE SRL;2267880264;Treviso;Veneto;3264977;Sistema ARREDAMENTO
ACCADUEO DESIGN SRL;2161470410;Pesaro Urbino;Marche;3257835;Sistema ARREDAMENTO
COMFORT SRL;2476050964;Monza e della Brianza;Lombardia;3244849;Sistema ARREDAMENTO
B.R.F. SRL;3876850482;Firenze;Toscana;3234611;Sistema ARREDAMENTO
SEDIA ELITE SRL;2458450307;Udine;Friuli-Venezia Giulia;3231341;Sistema ARREDAMENTO
PRESTIGE SRL;3491210245;Vicenza;Veneto;3208138;Sistema ARREDAMENTO
BIZZOTTO SRL;668230246;Vicenza;Veneto;3197472;Sistema ARREDAMENTO
BI-EL SRL;1104050412;Pesaro Urbino;Marche;3191819;Sistema ARREDAMENTO
SAVIO INTERIORS SRL;6081900489;Firenze;Toscana;3189066;Sistema ARREDAMENTO
DIBIEFFE SRL;1553500164;Bergamo;Lombardia;3181344;Sistema ARREDAMENTO
ARCA SRL (TV);3435520261;Treviso;Veneto;3180349;Sistema ARREDAMENTO
EUROSEDIA DESIGN SRL;2302190422;Ancona;Marche;3175243;Sistema ARREDAMENTO
EUROCOMET SRL;951070507;Pisa;Toscana;3168969;Sistema ARREDAMENTO
RAT SRL;243460979;Prato;Toscana;3167349;Sistema ARREDAMENTO
MELLI SALOTTI SRL;2220010348;Bologna;Emilia-Romagna;3160647;Sistema ARREDAMENTO
POL 74 SRL;939270963;Monza e della Brianza;Lombardia;3154060;Sistema ARREDAMENTO
SALTARELLI MOBILI SRL;1165660414;Pesaro Urbino;Marche;3150763;Sistema ARREDAMENTO
SEDILMARE SRL;6932920637;Napoli;Campania;3135078;Sistema ARREDAMENTO
BRUNO PIOMBINI SRL;4135660233;Verona;Veneto;3132922;Sistema ARREDAMENTO
L OTTOCENTO SRL;2198410280;Padova;Veneto;3112497;Sistema ARREDAMENTO
TOSCONOVA SRL;91520478;Pistoia;Toscana;3104782;Sistema ARREDAMENTO
GATTI SRL;1888460274;Venezia;Veneto;3103840;Sistema ARREDAMENTO
OLIVIERI SRL;921560405;Rimini;Emilia-Romagna;3077347;Sistema ARREDAMENTO
KOVER SRL;867830960;Monza e della Brianza;Lombardia;3075155;Sistema ARREDAMENTO
POLIREX SRL;1056350778;Matera;Basilicata;3074385;Sistema ARREDAMENTO
FRIGHETTO MOBILI SRL;2294500240;Vicenza;Veneto;3068830;Sistema ARREDAMENTO
ROBERTI RATTAN SRL;733170260;Treviso;Veneto;3066007;Sistema ARREDAMENTO
GY FORM SRL;806080222;Trento;Trentino-Alto Adige;3065570;Sistema ARREDAMENTO
ROLFI SRL;3297910170;Brescia;Lombardia;3064211;Sistema ARREDAMENTO
ISIDORA SRL;3544360260;Treviso;Veneto;3051185;Sistema ARREDAMENTO
REXITE SRL;1310220155;Milano;Lombardia;3045249;Sistema ARREDAMENTO
ZANETTE SRL;72350937;Pordenone;Friuli-Venezia Giulia;3043746;Sistema ARREDAMENTO
ARNABOLDI INTERIORS SRL;195490131;Como;Lombardia;3042791;Sistema ARREDAMENTO
SCAPPINI E C. SRL;1270740234;Verona;Veneto;3042255;Sistema ARREDAMENTO
MOBILFORM SRL;699950960;Monza e della Brianza;Lombardia;3036798;Sistema ARREDAMENTO
SANTA CROCE SPA;3005800267;Treviso;Veneto;3004630;Sistema ARREDAMENTO
COLLEZIONE STILE;3588200281;Padova;Veneto;2998773;Sistema ARREDAMENTO
COMPOSIT SRL (PS);1017800416;Pesaro Urbino;Marche;2989867;Sistema ARREDAMENTO
STEFANO COSATTO SRL;1922370307;Udine;Friuli-Venezia Giulia;2988228;Sistema ARREDAMENTO
RIMAR SRL;1610520437;Macerata;Marche;2986445;Sistema ARREDAMENTO
CERIFLEX SRL;3553600713;Foggia;Puglia;2985820;Sistema ARREDAMENTO
S.C.S. SRL;416910412;Pesaro Urbino;Marche;2980738;Sistema ARREDAMENTO
PASSONI LUIGI SEDIE SRL;1469820300;Udine;Friuli-Venezia Giulia;2969386;Sistema ARREDAMENTO
QUAGLIOTTI SPA;5623970018;Torino;Piemonte;2961392;Sistema ARREDAMENTO
TULIFLEX 2000 SRL;3490240656;Monza e della Brianza;Lombardia;2950079;Sistema ARREDAMENTO
FEDELE SRL;1455440303;Udine;Friuli-Venezia Giulia;2932808;Sistema ARREDAMENTO
EFFETI INDUSTRIE SRL;4354180483;Firenze;Toscana;2928360;Sistema ARREDAMENTO
ALTA SRL;3224610265;Pordenone;Friuli-Venezia Giulia;2918977;Sistema ARREDAMENTO
CUCINE NOVENTA SRL;213860935;Pordenone;Friuli-Venezia Giulia;2917613;Sistema ARREDAMENTO
GRILLI SRL;1555800505;Pisa;Toscana;2917217;Sistema ARREDAMENTO
ADRIANI E ROSSI EDIZIONI SRL;913370243;Vicenza;Veneto;2916952;Sistema ARREDAMENTO
PIETRA MARROCCO PI.MAR. SRL;2628460756;Lecce;Puglia;2915062;Sistema ARREDAMENTO
MODONUTTI SRL;183100304;Udine;Friuli-Venezia Giulia;2907549;Sistema ARREDAMENTO
MAIULLARI SRL;3253590727;Bari;Puglia;2904313;Sistema ARREDAMENTO
ALPA SALOTTI SRL;5964870728;Bari;Puglia;2891575;Sistema ARREDAMENTO
CIESSE ARREDAMENTI SRL;4535910261;Genova;Liguria;2889952;Sistema ARREDAMENTO
IBLUE SRL;1759490681;Pescara;Abruzzo;2881383;Sistema ARREDAMENTO
EXPO  SRL;8909180013;Torino;Piemonte;2880700;Sistema ARREDAMENTO
F.LLI BIANCHINI SRL;453810236;Verona;Veneto;2873827;Sistema ARREDAMENTO
C.T.F. SRL;4934860729;Bari;Puglia;2869546;Sistema ARREDAMENTO
NASONMORETTI SRL;3603790274;Venezia;Veneto;2868613;Sistema ARREDAMENTO
VEMA SRL (PT);1611860477;Pistoia;Toscana;2857154;Sistema ARREDAMENTO
BIESSE CREA SRL;212930937;Pordenone;Friuli-Venezia Giulia;2849404;Sistema ARREDAMENTO
EUROFLEX GROUP SRL;584280457;Massa-Carrara;Toscana;2846651;Sistema ARREDAMENTO
MATTIAZZI SRL;2313240307;Udine;Friuli-Venezia Giulia;2827199;Sistema ARREDAMENTO
MOHEBBAN SRL;5523950961;Milano;Lombardia;2819991;Sistema ARREDAMENTO
PF STILE SRL;3855830240;Vicenza;Veneto;2807439;Sistema ARREDAMENTO
DEART SRL;1900330158;Milano;Lombardia;2804793;Sistema ARREDAMENTO
PERESSINI CASA SRL;2627360304;Udine;Friuli-Venezia Giulia;2803541;Sistema ARREDAMENTO
RAMPOLDI CREATIONS SRL;3085910135;Como;Lombardia;2795684;Sistema ARREDAMENTO
STEFRA SRL;2696830369;Modena;Emilia-Romagna;2793166;Sistema ARREDAMENTO
DOMUS MOBILI SRL;1393870231;Verona;Veneto;2790634;Sistema ARREDAMENTO
